"qb"	"year"	"game.num"	"opponent"	"pass.atts"	"comps"	"pass.yds"	"pass.tds"	"ints"	"carries"	"rush.yds"	"rush.tds"	"cum.pass.atts"	"cum.comps"	"cum.pass.yds"	"cum.pass.tds"	"cum.ints"	"cum.carries"	"cum.rush.yds"	"cum.rush.tds"
"Ryan Mattice"	2006	1	"USC"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Brady Leaf"	2006	16	"ARIZ"	22	11	95	0	1	0	0	0	181	103	1066	8	5	37	-3	1
"Dennis Dixon"	2006	25	"ARIZ"	22	14	88	0	3	5	34	0	421	262	2871	17	16	141	573	3
"Brady Leaf"	2006	17	"ORST"	42	25	274	1	1	4	15	0	223	128	1340	9	6	41	12	1
"Dennis Dixon"	2006	26	"BYU"	20	10	122	1	1	10	51	0	441	272	2993	18	17	151	624	3
"Brady Leaf"	2006	18	"BYU"	14	6	44	0	1	7	-19	0	237	134	1384	9	7	48	-7	1
"Dennis Dixon"	2007	27	"HOU"	15	9	134	2	0	15	141	1	456	281	3127	20	17	166	765	4
"Dennis Dixon"	2007	28	"MICH"	25	16	292	3	0	16	76	1	481	297	3419	23	17	182	841	5
"Brady Leaf"	2007	19	"MICH"	1	1	1	0	0	0	0	0	238	135	1385	9	7	48	-7	1
"Dennis Dixon"	2007	29	"FRES"	20	14	139	2	0	8	59	1	501	311	3558	25	17	190	900	6
"Brady Leaf"	2007	20	"FRES"	3	1	15	0	0	0	0	0	241	136	1400	9	7	48	-7	1
"Dennis Dixon"	2007	30	"STAN"	37	28	374	4	0	9	8	1	538	339	3932	29	17	199	908	7
"Brady Leaf"	2007	21	"STAN"	1	0	0	0	0	0	0	0	242	136	1400	9	7	48	-7	1
"Dennis Dixon"	2007	31	"CAL"	44	31	306	1	2	8	17	1	582	370	4238	30	19	207	925	8
"Dennis Dixon"	2007	32	"WSU"	28	21	287	3	0	7	16	1	610	391	4525	33	19	214	941	9
"Brady Leaf"	2007	22	"WSU"	6	4	41	0	0	4	3	0	248	140	1441	9	7	52	-4	1
"Justin Roper"	2007	1	"WSU"	1	1	10	0	0	0	0	0	1	1	10	0	0	0	0	0
"Dennis Dixon"	2007	33	"WASH"	30	19	196	1	1	12	99	1	640	410	4721	34	20	226	1040	10
"Dennis Dixon"	2007	34	"USC"	25	16	157	0	0	17	76	1	665	426	4878	34	20	243	1116	11
"Dennis Dixon"	2007	35	"ASU"	22	13	189	4	0	11	57	0	687	439	5067	38	20	254	1173	11
"Brady Leaf"	2007	23	"ASU"	4	2	11	0	0	3	14	0	252	142	1452	9	7	55	10	1
"Brady Leaf"	2007	24	"ARIZ"	46	22	163	0	2	7	-16	0	298	164	1615	9	9	62	-6	1
"Dennis Dixon"	2007	36	"ARIZ"	8	5	62	0	1	2	34	1	695	444	5129	38	21	256	1207	12
"Cody Kempt"	2007	1	"UCLA"	23	6	52	0	2	4	1	0	23	6	52	0	2	4	1	0
"Brady Leaf"	2007	25	"UCLA"	11	4	45	0	0	4	1	0	309	168	1660	9	9	66	-5	1
"Justin Roper"	2007	2	"UCLA"	5	1	8	0	1	4	-17	0	6	2	18	0	1	4	-17	0
"Justin Roper"	2007	3	"ORST"	25	13	144	2	1	8	8	1	31	15	162	2	2	12	-9	1
"Cody Kempt"	2007	2	"ORST"	3	0	0	0	0	2	-3	0	26	6	52	0	2	6	-2	0
"Justin Roper"	2007	4	"USF"	30	17	180	4	0	3	10	0	61	32	342	6	2	15	1	1
"Jeremiah Masoli"	2008	1	"WASH"	17	9	126	2	0	4	23	0	17	9	126	2	0	4	23	0
"Justin Roper"	2008	5	"WASH"	11	7	114	1	1	0	0	0	72	39	456	7	3	15	1	1
"Justin Roper"	2008	6	"USU"	18	13	173	1	1	5	35	1	90	52	629	8	4	20	36	2
"Jeremiah Masoli"	2008	2	"USU"	11	7	67	0	0	3	-15	0	28	16	193	2	0	7	8	0
"Chris Harper"	2008	1	"USU"	6	4	40	1	0	4	25	1	6	4	40	1	0	4	25	1
"Justin Roper"	2008	7	"PUR"	48	20	197	0	2	7	41	0	138	72	826	8	6	27	77	2
"Darron Thomas"	2008	1	"BSU"	25	13	210	3	1	2	4	0	25	13	210	3	1	2	4	0
"Jeremiah Masoli"	2008	3	"BSU"	4	3	27	0	0	1	9	0	32	19	220	2	0	8	17	0
"Chris Harper"	2008	2	"BSU"	3	0	0	0	2	9	21	0	9	4	40	1	2	13	46	1
"Jeremiah Masoli"	2008	4	"WSU"	16	9	161	2	0	5	36	0	48	28	381	4	0	13	53	0
"Darron Thomas"	2008	2	"WSU"	3	0	0	0	0	6	24	1	28	13	210	3	1	8	28	1
"Jeremiah Masoli"	2008	5	"USC"	29	18	156	0	1	11	19	0	77	46	537	4	1	24	72	0
"Darron Thomas"	2008	3	"USC"	4	2	23	0	0	4	-1	0	32	15	233	3	1	12	27	1
"Jeremiah Masoli"	2008	6	"UCLA"	19	5	42	1	0	24	170	1	96	51	579	5	1	48	242	1
"Jeremiah Masoli"	2008	7	"ASU"	26	17	147	1	1	8	85	1	122	68	726	6	2	56	327	2
"Justin Roper"	2008	8	"ASU"	4	4	86	1	0	3	4	0	142	76	912	9	6	30	81	2
"Jeremiah Masoli"	2008	8	"CAL"	21	7	44	0	2	21	97	1	143	75	770	6	4	77	424	3
"Justin Roper"	2008	9	"CAL"	11	4	40	0	0	2	5	0	153	80	952	9	6	32	86	2
"Jeremiah Masoli"	2008	9	"STAN"	21	11	144	1	0	12	46	0	164	86	914	7	4	89	470	3
"Jeremiah Masoli"	2008	10	"ARIZ"	26	21	298	2	0	10	89	3	190	107	1212	9	4	99	559	6
"Ed Dickson"	2008	1	"ARIZ"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Jeremiah Masoli"	2009	11	"BSU"	27	14	121	0	1	7	14	1	217	121	1333	9	5	106	573	7
"Jeremiah Masoli"	2009	12	"PUR"	21	11	163	0	0	14	84	1	238	132	1496	9	5	120	657	8
"Jeremiah Masoli"	2009	13	"UTAH"	16	4	95	0	1	12	47	2	254	136	1591	9	6	132	704	10
"Jeremiah Masoli"	2009	14	"CAL"	25	21	253	3	0	8	21	0	279	157	1844	12	6	140	725	10
"Nate Costa"	2009	3	"CAL"	7	4	35	0	0	3	3	0	12	9	108	0	0	10	42	0
"Jeremiah Masoli"	2009	15	"WSU"	18	14	116	1	0	7	52	1	297	171	1960	13	6	147	777	11
"Nate Costa"	2009	4	"WSU"	9	7	80	0	0	6	26	1	21	16	188	0	0	16	68	1
"Nate Costa"	2009	5	"UCLA"	17	9	82	1	1	6	-18	0	38	25	270	1	1	22	50	1
"Jeremiah Masoli"	2009	16	"WASH"	22	14	157	1	0	11	54	2	319	185	2117	14	6	158	831	13
"Jeremiah Masoli"	2009	17	"USC"	31	19	222	1	0	13	164	1	350	204	2339	15	6	171	995	14
"Jeremiah Masoli"	2009	18	"STAN"	37	21	334	3	0	10	55	1	387	225	2673	18	6	181	1050	15
"Jeremiah Masoli"	2009	19	"ASU"	20	10	120	2	1	7	67	0	407	235	2793	20	7	188	1117	15
"Jeremiah Masoli"	2009	20	"ARIZ"	47	26	284	3	1	16	61	3	454	261	3077	23	8	204	1178	18
"Jeremiah Masoli"	2009	21	"ORST"	21	14	201	1	1	10	40	0	475	275	3278	24	9	214	1218	18
"Jeremiah Masoli"	2009	22	"OSU"	20	9	81	0	1	6	9	1	495	284	3359	24	10	220	1227	19
"Darron Thomas"	2010	4	"UNM"	23	13	220	2	1	0	0	0	55	28	453	5	2	12	27	1
"Nate Costa"	2010	6	"UNM"	14	10	131	0	0	4	14	0	52	35	401	1	1	26	64	1
"Darron Thomas"	2010	5	"TENN"	32	17	202	2	0	7	34	0	87	45	655	7	2	19	61	1
"Darron Thomas"	2010	6	"PRST"	18	9	140	4	1	8	50	0	105	54	795	11	3	27	111	1
"Nate Costa"	2010	7	"PRST"	2	0	0	0	0	3	16	1	54	35	401	1	1	29	80	2
"Darron Thomas"	2010	7	"ASU"	33	19	260	2	1	4	18	1	138	73	1055	13	4	31	129	2
"Darron Thomas"	2010	8	"STAN"	29	20	238	3	2	15	117	1	167	93	1293	16	6	46	246	3
"Darron Thomas"	2010	9	"WSU"	13	9	171	1	0	3	2	0	180	102	1464	17	6	49	248	3
"Nate Costa"	2010	8	"WSU"	15	13	151	1	0	8	84	1	69	48	552	2	1	37	164	3
"Darron Thomas"	2010	10	"UCLA"	31	22	308	3	0	5	48	0	211	124	1772	20	6	54	296	3
"Nate Costa"	2010	9	"UCLA"	2	2	4	0	0	3	27	0	71	50	556	2	1	40	191	3
"Darron Thomas"	2010	11	"USC"	32	19	288	4	1	8	42	0	243	143	2060	24	7	62	338	3
"Darron Thomas"	2010	12	"WASH"	33	24	243	1	0	12	89	2	276	167	2303	25	7	74	427	5
"Darron Thomas"	2010	13	"CAL"	29	15	155	1	0	17	30	0	305	182	2458	26	7	91	457	5
"Darron Thomas"	2010	14	"ARIZ"	24	14	148	3	1	6	62	1	329	196	2606	29	8	97	519	6
"Darron Thomas"	2010	15	"ORST"	24	14	145	2	0	1	-4	0	353	210	2751	31	8	98	515	6
"Darron Thomas"	2010	16	"AUB"	40	27	363	2	2	8	-6	0	393	237	3114	33	10	106	509	6
"Jackson Rice"	2010	1	"AUB"	1	1	11	0	0	0	0	0	1	1	11	0	0	0	0	0
"Darron Thomas"	2011	17	"LSU"	54	31	240	1	1	2	12	0	447	268	3354	34	11	108	521	6
"Darron Thomas"	2011	18	"NEV"	19	13	295	6	0	3	35	0	466	281	3649	40	11	111	556	6
"Bryan Bennett"	2011	1	"NEV"	7	2	36	0	0	5	21	0	7	2	36	0	0	5	21	0
"Darron Thomas"	2011	19	"MOST"	15	11	206	3	0	0	0	0	481	292	3855	43	11	111	556	6
"Bryan Bennett"	2011	2	"MOST"	6	5	59	2	0	1	10	0	13	7	95	2	0	6	31	0
"Darron Thomas"	2011	20	"ARIZ"	20	11	101	2	0	10	52	2	501	303	3956	45	11	121	608	8
"Darron Thomas"	2011	21	"CAL"	25	13	198	3	1	3	1	0	526	316	4154	48	12	124	609	8
"Darron Thomas"	2011	22	"ASU"	17	13	187	2	1	4	16	0	543	329	4341	50	13	128	625	8
"Bryan Bennett"	2011	3	"ASU"	5	2	22	0	0	5	65	0	18	9	117	2	0	11	96	0
"Bryan Bennett"	2011	4	"COLO"	20	11	156	2	0	6	69	0	38	20	273	4	0	17	165	0
"Dustin Haines"	2011	1	"COLO"	1	0	0	0	0	2	7	0	1	0	0	0	0	2	7	0
"Darron Thomas"	2011	23	"WSU"	13	8	153	1	2	1	-8	0	556	337	4494	51	15	129	617	8
"Bryan Bennett"	2011	5	"WSU"	7	4	88	2	0	4	25	0	45	24	361	6	0	21	190	0
"Darron Thomas"	2011	24	"WASH"	25	13	169	1	0	3	6	0	581	350	4663	52	15	132	623	8
"Darron Thomas"	2011	25	"STAN"	17	11	155	3	0	7	17	0	598	361	4818	55	15	139	640	8
"Darron Thomas"	2011	26	"USC"	35	23	265	1	0	9	5	0	633	384	5083	56	15	148	645	8
"Darron Thomas"	2011	27	"ORST"	40	27	305	4	0	3	9	0	673	411	5388	60	15	151	654	8
"Darron Thomas"	2011	28	"UCLA"	36	20	219	3	1	5	60	1	709	431	5607	63	16	156	714	9
"Darron Thomas"	2011	29	"WIS"	23	17	268	3	1	6	1	0	732	448	5875	66	17	162	715	9
"Bryan Bennett"	2011	6	"WIS"	1	1	8	0	0	0	0	0	46	25	369	6	0	21	190	0
"Marcus Mariota"	2012	1	"ARST"	22	18	200	3	0	4	24	0	22	18	200	3	0	4	24	0
"Bryan Bennett"	2012	7	"ARST"	17	10	108	1	1	4	34	0	63	35	477	7	1	25	224	0
"Marcus Mariota"	2012	2	"FRES"	27	19	166	1	0	14	67	0	49	37	366	4	0	18	91	0
"Marcus Mariota"	2012	3	"TNTC"	28	21	308	4	1	4	17	0	77	58	674	8	1	22	108	0
"Bryan Bennett"	2012	8	"TNTC"	5	2	20	0	1	5	12	2	68	37	497	7	2	30	236	2
"Marcus Mariota"	2012	4	"ARIZ"	35	20	260	2	1	5	17	0	112	78	934	10	2	27	125	0
"Bryan Bennett"	2012	9	"ARIZ"	1	1	7	0	0	3	12	1	69	38	504	7	2	33	248	3
"Marcus Mariota"	2012	5	"WSU"	32	21	169	1	2	9	56	1	144	99	1103	11	4	36	181	1
"Marcus Mariota"	2012	6	"WASH"	24	15	198	4	1	7	40	0	168	114	1301	15	5	43	221	1
"Marcus Mariota"	2012	7	"ASU"	12	9	46	1	0	10	135	1	180	123	1347	16	5	53	356	2
"Bryan Bennett"	2012	10	"ASU"	7	2	2	1	1	8	40	0	76	40	506	8	3	41	288	3
"Marcus Mariota"	2012	8	"COLO"	14	10	136	2	0	4	22	1	194	133	1483	18	5	57	378	3
"Bryan Bennett"	2012	11	"COLO"	4	4	56	0	0	10	73	3	80	44	562	8	3	51	361	6
"Marcus Mariota"	2012	9	"USC"	23	20	304	4	0	15	96	0	217	153	1787	22	5	72	474	3
"Marcus Mariota"	2012	10	"CAL"	34	27	377	6	0	6	42	0	251	180	2164	28	5	78	516	3
"Bryan Bennett"	2012	12	"CAL"	3	1	18	1	0	4	1	0	83	45	580	9	3	55	362	6
"Marcus Mariota"	2012	11	"STAN"	37	21	207	1	1	12	89	0	288	201	2371	29	6	90	605	3
"Marcus Mariota"	2012	12	"ORST"	24	17	140	1	0	8	85	1	312	218	2511	30	6	98	690	4
"Marcus Mariota"	2012	13	"KSU"	24	12	166	2	0	8	62	1	336	230	2677	32	6	106	752	5
"Marcus Mariota"	2013	14	"NICH"	21	12	234	1	0	5	113	2	357	242	2911	33	6	111	865	7
"Jake Rodrigues"	2013	1	"NICH"	2	2	30	1	0	1	28	0	2	2	30	1	0	1	28	0
"Jeff Lockie"	2013	1	"NICH"	3	1	8	0	0	1	8	1	3	1	8	0	0	1	8	1
